,Código [-],Gentílico [-],Prefeito [2021],Área Territorial - km² [2020],População estimada - pessoas [2020],Densidade demográfica - hab/km² [2010],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2019],Receitas realizadas - R$ (×1000) [2017],Despesas empenhadas - R$ (×1000) [2017],PIB per capita - R$ [2018],Renda per capita,Região Turística,Domésticos,Internacionais,Categoria,Código,Expectativa de Vida
PINHEIRAL,3303955.0,pinheiralense,EDNARDO BARBOSA OLIVEIRA,82.254,25364.0,296.86,96.7,0.715,14.93,82483.14409,78865.22006,21732.84,738.36,VALE DO CAFÉ,7494.0,0.0,D,330395.0,73.0
PIRAI,3304003.0,piraiense,ARTHUR HENRIQUE GONÇALVES FERREIRA,490.255,29545.0,52.07,97.7,0.708,15.92,193050.70005,162303.94837,63885.0,723.27,VALE DO CAFÉ,28622.0,70.0,C,330400.0,73.0
PORCIUNCULA,3304102.0,porciunculense,LEONARDO PAES BARRETO COUTINHO,291.847,18960.0,58.8,99.1,0.697,12.24,76753.24877,70690.16281,18689.85,724.43,ÁGUAS DO NOROESTE,50994.0,0.0,C,330410.0,73.0
PORTO REAL,3304110.0,porto realense,ALEXANDRE AUGUSTUS SERFIOTIS,50.892,19974.0,326.95,98.9,0.713,12.1,150221.32996,142407.04957,147371.58,659.61,AGULHAS NEGRAS,0.0,749.0,D,330411.0,74.0
QUATIS,3304128.0,quatiense,ALUÍSIO MAX ALVES D ELIAS,284.826,14435.0,44.72,97.6,0.69,18.29,65127.00292,52943.46404,18706.57,620.37,AGULHAS NEGRAS,0.0,0.0,D,330412.0,73.0
QUEIMADOS,3304144.0,queimadense,GLAUCO BARBOSA HOFFMAN KAIZER,75.927,151335.0,1822.6,95.7,0.68,17.72,310553.39239,288190.15344,24050.05,529.7,BAIXADA VERDE,0.0,116.0,D,330414.0,73.0
QUISSAMA,3304151.0,quissamaense,MARIA DE FÁTIMA PACHECO,719.643,25126.0,28.4,98.5,0.704,9.71,205808.97871,175980.42072,101931.44,716.04,COSTA DO SOL,28622.0,0.0,D,330415.0,74.0
RESENDE,3304201.0,resendense,DIOGO GONÇALVES BALIEIRO DINIZ,1099.336,132312.0,109.35,97.0,0.768,15.07,540030.09337,417280.42969,64649.16,1070.26,AGULHAS NEGRAS,142391.0,4897.0,B,330420.0,75.0
RIO BONITO,3304300.0,rio-bonitense,LEANDRO PEREIRA NETTO,459.458,60573.0,121.7,97.2,0.71,13.25,173570.37468,188480.12308,27755.96,728.04,CAMINHOS DA MATA,50303.0,276.0,C,330430.0,74.0
RIO CLARO,3304409.0,rio-clarense,JOSE OSMAR DE ALMEIDA,846.797,18605.0,20.81,97.7,0.683,9.17,96894.79133,81520.87468,21763.04,699.55,VALE DO CAFÉ,29309.0,268.0,D,330440.0,73.0
RIO DAS FLORES,3304508.0,rio-florense,VICENTE DE PAULA DE SOUZA GUEDES,478.783,9344.0,17.9,98.5,0.68,-,47768.51715,46492.10566,22263.47,601.9,VALE DO CAFÉ,13413.0,274.0,D,330450.0,74.0
RIO DAS OSTRAS,3304524.0,rio ostrense,MARCELINO CARLOS DIAS BORBA,228.044,155193.0,461.38,98.2,0.773,13.7,590854.17437,433485.32223,58789.09,1209.07,COSTA DO SOL,347607.0,5394.0,B,330452.0,76.0
RIO DE JANEIRO,3304557.0,carioca,EDUARDO DA COSTA PAES,1200.329,6747815.0,5265.82,96.9,0.799,12.15,26018740.29475,26572047.25788,54426.08,1784.44,METROPOLITANA,7119416.0,1651696.0,A,330455.0,75.0
SANTA MARIA MADALENA,3304607.0,madalenense,CARLOS ALBERTO DE MATOS BOTELHO,810.963,10392.0,12.67,98.3,0.668,36.7,56550.95226,48045.36228,17415.87,614.13,CAMINHOS DA SERRA,0.0,174.0,D,330460.0,72.0
SANTO ANTONIO DE PADUA,3304706.0,paduano / paduense,PAULO ROBERTO PINHEIRO PINTO,603.633,42594.0,67.27,98.1,0.718,13.04,124492.26368,114148.40157,25660.26,743.89,,,,,330470.0,73.0
