,City,Lat,Lng,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Total
64,Rio Claro,-22.7229997,-44.1359986,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
65,Rio das Flores,-22.1683478,-43.5858689,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
66,Rio das Ostras,-22.5269448,-41.944972,1,1,2,1,3,5,7,1,4,0,4,5,5,8,10,10,17,19,21,16,18,24,14,7,6,2,11,4,5,1,3,7,1,1,0,2,1,1,1,0,2,0,0,0,1,0,1,0,3,1,0,0,257
67,Rio de Janeiro,-22.9110137,-43.2093727,21,25,25,35,42,34,49,51,61,50,49,74,51,46,52,60,89,100,67,76,67,60,36,68,50,54,67,66,55,97,89,79,55,59,37,37,46,39,31,26,33,32,38,54,61,66,87,106,118,146,102,58,3076
68,Santa Maria Madalena,-21.9557957,-42.008283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Santo Antônio de Pádua,-21.5389992,-42.1799978,0,0,0,0,0,0,1,1,0,2,1,1,11,15,5,9,6,14,8,7,2,2,2,0,0,1,0,0,0,0,3,3,4,2,2,4,2,11,7,0,1,0,0,0,4,1,1,4,9,8,17,13,184
70,São Francisco de Itabapoana,-21.47437,-41.1202,0,0,0,1,0,0,1,0,0,0,1,0,2,1,0,1,2,0,0,3,1,1,5,0,0,0,0,0,3,4,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
71,São Fidélis,-21.6431,-41.7578,0,0,0,0,0,1,0,2,3,6,22,23,11,22,17,28,24,19,31,24,29,9,5,6,8,9,7,7,6,6,6,3,4,2,17,4,4,5,2,1,5,1,0,3,1,3,1,4,11,7,1,2,412
72,São Gonçalo,-22.8219014,-43.0309252,2,2,8,7,14,8,10,11,30,30,53,62,70,88,120,134,130,142,131,94,76,63,56,48,42,39,40,29,24,30,23,34,23,28,17,4,4,5,12,4,8,0,3,5,3,3,3,4,24,1,14,1,1816
73,São João da Barra,-21.6348588,-41.0487079,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,21,28,29,30,26,44,20,10,9,8,9,15,3,2,5,3,6,3,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,291
74,São João de Meriti,-22.8043744,-43.3724125,1,3,0,0,1,4,5,3,4,2,5,0,5,7,8,8,6,7,10,5,7,10,11,9,12,18,15,15,15,11,12,8,6,5,3,1,2,2,10,5,2,1,3,1,3,3,7,28,17,29,22,5,382
75,São José de Ubá,-21.3595365,-41.9389905,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,São José do Vale do Rio Preto,-22.1509994,-42.9239986,0,1,0,0,0,1,4,7,7,5,11,6,5,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
77,São Pedro da Aldeia,-22.8362,-42.1037,0,0,0,2,2,0,3,1,3,2,2,4,7,47,15,11,18,19,27,30,9,20,4,1,1,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,244
78,São Sebastião do Alto,-21.9568272,-42.134815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Sapucaia,-21.9946569,-42.9137975,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
80,Saquarema,-22.9257974,-42.507633,0,0,0,0,0,0,1,2,2,1,0,0,0,5,1,2,2,0,0,2,1,1,0,0,1,1,1,3,0,0,3,18,26,16,19,12,15,21,11,4,0,0,0,0,0,0,0,1,0,0,0,0,172
81,Seropédica,-22.7438887,-43.6991998,0,0,0,0,0,1,1,2,1,0,0,1,3,1,5,6,2,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,1,0,43
82,Silva Jardim,-22.6504534,-42.3919146,0,0,0,0,0,0,0,0,1,0,1,5,9,10,6,6,6,1,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,54
83,Sumidouro,-22.0498059,-42.6742601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Tanguá,-22.7353777,-42.7202272,9,18,44,59,78,69,106,243,196,181,137,95,102,85,68,49,51,48,29,21,27,12,10,0,1,0,0,3,0,1,1,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,1,1753
85,Teresópolis,-22.4164578,-42.975194,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
86,Trajano de Moraes,-22.0637911,-42.0644414,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,Três Rios,-22.1167884,-43.2087226,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11
88,Valença,-22.2461028,-43.6996917,0,0,1,0,1,0,1,0,1,4,6,8,26,32,32,32,65,57,65,29,28,35,22,9,14,14,7,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,500
89,Varre-Sai,-20.9308869,-41.8685772,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
90,Vassouras,-22.4040394,-43.6633853,0,1,0,0,0,2,1,2,3,12,18,21,29,32,23,42,38,36,16,23,7,7,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,321
91,Volta Redonda,-22.5225497,-44.1040128,3,6,0,4,5,1,3,1,3,1,2,5,10,6,10,11,8,10,7,4,4,4,4,2,1,1,1,1,5,6,1,1,0,2,0,1,1,0,1,0,3,0,0,1,0,1,1,6,5,3,3,2,161
