,City,Lat,Lng,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,Total
47,Niterói,-22.8832371,-43.1154552,4,1,8,4,4,6,6,11,10,10,21,30,24,27,28,14,18,28,20,24,12,12,10,9,7,6,2,4,3,4,9,2,4,3,7,2,8,4,7,12,7,10,7,24,21,21,26,42,30,15,6,2,636
48,Nova Friburgo,-22.2800004,-42.5325303,1,0,1,1,0,0,1,1,1,3,6,5,3,8,7,6,5,9,7,4,2,1,6,1,2,1,0,1,1,0,1,2,0,2,1,1,1,0,1,1,0,0,0,1,0,2,0,2,1,0,0,0,100
49,Nova Iguaçu,-22.7592175,-43.4508728,1,0,0,0,0,0,1,3,2,7,3,3,6,12,6,15,27,24,25,23,16,11,10,9,8,5,6,4,8,1,3,4,3,0,2,0,1,0,0,1,4,1,2,2,1,10,8,28,43,29,2,0,380
50,Paracambi,-22.6109158,-43.7096912,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
51,Paraíba do Sul,-22.1636384,-43.2916915,0,0,0,0,0,1,1,0,2,2,3,3,3,3,1,0,7,10,5,5,3,0,7,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,12,0,0,80
52,Parati,-23.2196461,-44.7154196,0,0,2,2,1,1,5,3,9,14,15,16,15,41,75,47,39,33,21,6,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349
53,Paty do Alferes,-22.4272703,-43.4219523,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13
54,Petrópolis,-22.5075743,-43.1785356,0,1,1,0,1,0,0,2,1,2,3,12,4,21,30,14,19,12,13,3,10,25,19,11,2,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,217
55,Pinheiral,-22.5129436,-44.001435,0,1,0,0,0,3,3,3,10,13,28,25,14,28,14,16,8,9,2,2,4,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,9,6,0,206
56,Piraí,-22.6287489,-43.8981758,2,0,0,0,1,4,3,5,4,5,9,17,25,29,34,50,74,133,88,79,76,32,34,9,5,3,2,6,2,1,3,1,1,0,1,1,0,0,1,1,3,4,2,2,6,8,7,6,18,16,8,0,821
57,Porciúncula,-20.9627278,-42.0405703,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,2,1,0,1,1,2,1,2,1,3,13,13,14,38,32,9,0,145
58,Porto Real,-22.4198366,-44.2897974,0,1,7,5,13,12,4,39,83,105,212,219,179,196,174,148,163,126,110,46,24,23,17,18,10,5,4,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1953
59,Quatis,-22.4066444,-44.2577453,1,1,8,1,2,5,12,7,13,16,31,24,25,79,64,81,68,112,87,28,6,27,12,4,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723
